signal,scheme,bin_lo,bin_hi,metric,group,n_windows,n_models,median,q25,q75,file_mean,file_sd
ALL,rel_mae,0.1,0.2,phase,Linear and MLP,35025,3,6.473154974160014,5.202005747450026,8.174656897035714,6.787886331480693,3.519929313781161
ALL,rel_mae,0.1,0.2,freq,Local receptive field,216911,4,0.0004028057791247708,0.00011107353630968042,0.0016640608277242452,0.007856042118534391,0.014925945973801816
ALL,rel_mae,0.1,0.2,freq,Global attention,10469,1,0.00012840988944862186,1.914755217680142e-05,0.0009398426301485685,0.0010695566139245134,0.0017444447759955009
ALL,rel_mae,0.1,0.2,freq,Decomposition,13552,2,0.0005499929797628811,0.00022183263181174695,0.0011551551308279784,0.0012683105995110416,0.0014267639619052386
ALL,rel_mae,0.1,0.2,freq,Linear and MLP,35025,3,0.00036513726328235574,0.00011886009824113586,0.0010780070577236511,0.002287682715417416,0.0029343812565380493
ALL,rel_mae,0.2,inf,phase,Local receptive field,240018,4,12.38663755487148,5.834299612597527,20.626377544709207,21.90410221116089,9.52461777251228
ALL,rel_mae,0.2,inf,phase,Global attention,128974,1,65.49179415382716,48.60001304151391,82.75726476522097,63.494115594671214,12.177844375078498
ALL,rel_mae,0.2,inf,phase,Decomposition,620339,4,63.6504460771274,43.56781102806276,82.19157791514684,60.6648881545314,14.998037706427375
ALL,rel_mae,0.2,inf,phase,Linear and MLP,365719,3,54.80918918889243,36.96377098259681,72.33492084014416,54.492258198535886,14.994842202135617
ALL,rel_mae,0.2,inf,freq,Local receptive field,240018,4,0.0008027939949079022,0.00018066293398080746,0.005338393198643654,0.023060884618615912,0.02749132654678893
ALL,rel_mae,0.2,inf,freq,Global attention,128898,1,0.04605013749425735,0.003869034676362071,0.1036733876283194,0.10179795631872983,0.059757700999060685
ALL,rel_mae,0.2,inf,freq,Decomposition,619658,4,0.04065178406283576,0.007382022673152411,0.09694927602781025,0.10526262742408307,0.08581605960826934
ALL,rel_mae,0.2,inf,freq,Linear and MLP,365719,3,0.025768816439001974,0.005269330521320781,0.08707062206739857,0.0764805623510248,0.08576505872879664
ALL,abs_mae_0_0.03,0.0,0.03,phase,Local receptive field,583957,4,4.551373889058114,2.1979217406565907,8.35904574982322,7.46265093287092,1.8267253192598663
ALL,abs_mae_0_0.03,0.0,0.03,phase,Global attention,57902,1,2.764252863120328,1.752560467617986,5.511920244734503,10.787356404412753,3.963855437556743
ALL,abs_mae_0_0.03,0.0,0.03,phase,Decomposition,134916,4,8.60024042832815,0.5144460047091205,21.46247202716526,54.76052788273664,32.31752548519232
ALL,abs_mae_0_0.03,0.0,0.03,phase,Linear and MLP,183339,3,2.702006636035965,0.25421631292348756,7.749857166013843,24.30605606395222,25.95833197350472
ALL,abs_mae_0_0.03,0.0,0.03,freq,Local receptive field,583957,4,0.0003600073782523694,8.513797624187802e-05,0.0014265298571531915,0.008194353180881467,0.011956541233529482
ALL,abs_mae_0_0.03,0.0,0.03,freq,Global attention,57882,1,0.0002539619860533193,3.0323542991872454e-05,0.0019274332424119578,0.021599192371041936,0.015338780358688759
ALL,abs_mae_0_0.03,0.0,0.03,freq,Decomposition,134699,4,0.0006730492914492903,0.00010493546423240296,0.006293231739929184,0.11428229083430881,0.13996359175718406
ALL,abs_mae_0_0.03,0.0,0.03,freq,Linear and MLP,183339,3,0.00015358281524235906,2.2139788347419476e-05,0.0009986267126080861,0.021030504383982237,0.029333670247596363
