idx	model	paradigm	condition	signal	seed	out
107	FreMLP	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/FreMLP/seed2023/pred.npy
108	MICN_Mean	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MICN_Mean/seed2021/pred.npy
109	MICN_Mean	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MICN_Mean/seed2022/pred.npy
110	MICN_Mean	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MICN_Mean/seed2023/pred.npy
111	MICN_Regre	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MICN_Regre/seed2021/pred.npy
112	MICN_Regre	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MICN_Regre/seed2022/pred.npy
113	MICN_Regre	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MICN_Regre/seed2023/pred.npy
114	ModernTCN	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/ModernTCN/seed2021/pred.npy
115	ModernTCN	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/ModernTCN/seed2022/pred.npy
116	ModernTCN	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/ModernTCN/seed2023/pred.npy
117	PatchTST	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/PatchTST/seed2021/pred.npy
118	PatchTST	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/PatchTST/seed2022/pred.npy
119	PatchTST	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/PatchTST/seed2023/pred.npy
120	Transformer	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Transformer/seed2021/pred.npy
121	Transformer	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Transformer/seed2022/pred.npy
